"id","title","status","priority","category","area","outcome"
"BKL-001","Consolidar a linguagem ubíqua","Done","Must","Discovery","DDD","Glossário revisado com termos do domínio"
"BKL-002","Identificar subdomínios","Done","Must","Discovery","DDD","Subdomínios Core, Supporting e Generic"
"BKL-003","Definir Bounded Contexts","Done","Must","Discovery","DDD","Limites e responsabilidades dos contextos"
"BKL-004","Criar o Context Map","Done","Must","Discovery","DDD","Relações entre os contextos"
"BKL-005","Mapear eventos de domínio","Done","Must","Discovery","DDD","Linha do tempo do fluxo comercial"
"BKL-006","Modelar agregados e invariantes","Done","Must","Discovery","DDD","Modelo tático inicial por contexto"
"BKL-007","Registrar decisão arquitetural inicial","Done","Must","Architecture","Architecture","ADR sobre monólito modular e evolução"
"BKL-010","Criar projeto Spring Boot","Ready","Must","Technical","Platform","Aplicação executável com configuração mínima"
"BKL-011","Configurar PostgreSQL local","Backlog","Must","Technical","Platform","Banco iniciado de forma reproduzível"
"BKL-012","Configurar Docker Compose","Backlog","Must","Technical","Platform","Aplicação e dependências iniciadas localmente"
"BKL-013","Configurar migrações com Flyway","Backlog","Must","Technical","Platform","Estrutura do banco versionada"
"BKL-014","Definir padrão de respostas de erro","Backlog","Must","Architecture","Architecture","Contrato de erros documentado"
"BKL-015","Configurar testes e Testcontainers","Backlog","Must","Technical","Platform","Base de testes unitários e de integração"
"BKL-016","Configurar integração contínua","Backlog","Must","Technical","Platform","Build e testes executados em cada mudança"
"BKL-017","Estruturar módulos Spring Modulith","Backlog","Must","Architecture","Architecture","Seis módulos detectados e sem ciclos"
"BKL-018","Configurar qualidade automática do código","Backlog","Should","Technical","Platform","Formatação, análise estática e cobertura integradas ao Maven"
"BKL-019","Configurar perfis, propriedades e segredos locais","Backlog","Must","Technical","Platform","Configuração reproduzível sem credenciais versionadas"
"BKL-020","Cadastrar cliente PF","Backlog","Must","Feature","Customer","Cliente e conta de acesso criados com validações"
"BKL-021","Cadastrar cliente PJ","Backlog","Must","Feature","Customer","Cliente PJ e um ou mais representantes vinculados às próprias contas"
"BKL-022","Autenticar conta de acesso","Backlog","Must","Feature","Identity","Entrada e saída seguras"
"BKL-023","Autorizar ações por papel","Backlog","Must","Feature","Identity","Permissões aplicadas no servidor"
"BKL-024","Gerenciar contas de funcionários","Backlog","Must","Feature","Identity","Administrador convida funcionários e controla acessos internos"
"BKL-025","Recuperar senha","Backlog","Should","Feature","Identity","Titular recupera acesso à conta"
"BKL-026","Confirmar e alterar e-mail de acesso","Backlog","Must","Feature","Identity","Operações comerciais usam uma conta com e-mail verificado"
"BKL-027","Consultar e editar o próprio cadastro","Backlog","Must","Feature","Customer","Cliente atualiza dados permitidos sem alterar documentos protegidos"
"BKL-028","Pesquisar e controlar clientes","Backlog","Must","Feature","Customer","Funcionário pesquisa, inativa, bloqueia e corrige cadastros conforme sua permissão"
"BKL-029","Gerenciar representantes de cliente PJ","Backlog","Must","Feature","Customer","Vínculos possuem autorização, histórico e proteção do último representante"
"BKL-030","Cadastrar modelo de motocicleta","Backlog","Must","Feature","Catalog","Base de modelos disponível para vincular unidades"
"BKL-031","Cadastrar unidade de estoque","Backlog","Must","Feature","Inventory","Unidade identificada por chassi"
"BKL-032","Controlar status da unidade","Backlog","Must","Feature","Inventory","Transições válidas e auditadas"
"BKL-033","Consultar catálogo público","Backlog","Must","Feature","Catalog","Visitante encontra unidades específicas e seus preços anunciados"
"BKL-034","Pesquisar e filtrar catálogo","Backlog","Should","Feature","Catalog","Busca por atributos comerciais"
"BKL-035","Gerenciar fotos da unidade","Backlog","Should","Feature","Catalog","Detalhes visuais no catálogo"
"BKL-036","Gerenciar anúncios","Backlog","Must","Feature","Catalog","Rascunho, publicação, preço e arquivamento controlados"
"BKL-037","Sincronizar disponibilidade pública","Backlog","Must","Technical","Catalog","Catálogo reage a mudanças do estoque sem decidir a disponibilidade real"
"BKL-038","Proteger identificadores únicos da unidade","Backlog","Must","Technical","Inventory","Chassi, motor e placa permanecem únicos sob concorrência"
"BKL-039","Pesquisar estoque para funcionários","Backlog","Should","Feature","Inventory","Equipe consulta unidades e situações operacionais"
"BKL-040","Solicitar proposta","Backlog","Must","Feature","Commercial","Cliente envia interesse por unidades específicas"
"BKL-041","Preparar e calcular proposta","Backlog","Must","Feature","Commercial","Vendedor calcula valor bruto, desconto global e valor final"
"BKL-042","Controlar validade da proposta","Backlog","Must","Feature","Commercial","Expiração automática em sete dias"
"BKL-043","Versionar proposta","Backlog","Must","Feature","Commercial","Histórico preservado após mudanças"
"BKL-044","Aprovar desconto especial","Backlog","Must","Feature","Commercial","Gerente decide descontos acima de 10%"
"BKL-045","Aceitar ou recusar proposta","Backlog","Must","Feature","Commercial","Cliente registra sua decisão"
"BKL-046","Gerar proposta em PDF","Backlog","Should","Feature","Commercial","Documento comercial para download"
"BKL-047","Enviar proposta e aviso de vencimento","Backlog","Must","Feature","Commercial","Cliente recebe a versão enviada e o aviso previsto"
"BKL-048","Acompanhar solicitações de proposta","Backlog","Must","Feature","Commercial","Cliente e vendedor visualizam situação e responsável pelo atendimento"
"BKL-049","Consultar histórico da negociação","Backlog","Must","Feature","Commercial","Atores autorizados veem versões e decisões sem alteração retroativa"
"BKL-050","Criar reserva de proposta aceita","Backlog","Must","Feature","Inventory","Unidades reservadas para o cliente"
"BKL-051","Impedir reserva simultânea","Backlog","Must","Technical","Inventory","Apenas uma reserva ativa por unidade"
"BKL-052","Expirar reserva em 48 horas","Backlog","Must","Feature","Inventory","Estoque liberado automaticamente"
"BKL-053","Cancelar reserva","Backlog","Must","Feature","Inventory","Cliente ou funcionário libera unidades"
"BKL-054","Prorrogar reserva uma vez","Backlog","Must","Feature","Inventory","Gerente acrescenta 24 horas com justificativa"
"BKL-055","Avisar vencimento da reserva","Backlog","Must","Feature","Inventory","Cliente recebe e-mail 24 horas antes do prazo"
"BKL-056","Consultar situação e prazo da reserva","Backlog","Must","Feature","Inventory","Cliente e equipe visualizam estado, unidades e vencimento"
"BKL-057","Tornar a tentativa de reserva idempotente","Backlog","Must","Technical","Inventory","Repetições não criam reservas nem bloqueios duplicados"
